diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
D68.1,Y,D50-D90,D65-D69,Hereditary factor XI deficiency,2014-11-19 17:21:23.996408
D68.3,Y,D50-D90,D65-D69,Haemorrhagic disorder due to circulating anticoagulants,2014-11-19 17:21:23.996408
D68.4,Y,D50-D90,D65-D69,Acquired coagulation factor deficiency,2014-11-19 17:21:23.996408
D68.5,Y,D50-D90,D65-D69,Primary Thrombophilia,2014-11-19 17:21:23.996408
D68.6,Y,D50-D90,D65-D69,Other Thrombophilia,2014-11-19 17:21:23.996408
D68.9,Y,D50-D90,D65-D69,"Coagulation defect, unspecified",2014-11-19 17:21:23.996408
D69.,N,D50-D90,D65-D69,Purpura and other haemorrhagic conditions,2014-11-19 17:21:23.996408
D69.0,Y,D50-D90,D65-D69,Allergic purpura,2014-11-19 17:21:23.996408
D69.1,Y,D50-D90,D65-D69,Qualitative platelet defects,2014-11-19 17:21:23.996408
D69.3,Y,D50-D90,D65-D69,Idiopathic thrombocytopenic purpura,2014-11-19 17:21:23.996408
D69.4,Y,D50-D90,D65-D69,Other primary thrombocytopenia,2014-11-19 17:21:23.996408
D69.5,Y,D50-D90,D65-D69,Secondary thrombocytopenia,2014-11-19 17:21:23.996408
D69.6,Y,D50-D90,D65-D69,"Thrombocytopenia, unspecified",2014-11-19 17:21:23.996408
D69.9,Y,D50-D90,D65-D69,"Haemorrhagic condition, unspecified",2014-11-19 17:21:23.996408
D70.,Y,D50-D90,D70-D77,Agranulocytosis,2014-11-19 17:21:23.996408
D71.,Y,D50-D90,D70-D77,Functional disorders of polymorphonuclear neutrophils,2014-11-19 17:21:23.996408
D72.,N,D50-D90,D70-D77,Other disorders of white blood cells,2014-11-19 17:21:23.996408
D72.1,Y,D50-D90,D70-D77,Eosinophilia,2014-11-19 17:21:23.996408
D72.8,Y,D50-D90,D70-D77,Other specified disorders of white blood cells,2014-11-19 17:21:23.996408
D72.9,Y,D50-D90,D70-D77,"Disorder of white blood cells, unspecified",2014-11-19 17:21:23.996408
D73.,N,D50-D90,D70-D77,Diseases of spleen,2014-11-19 17:21:23.996408
D73.0,Y,D50-D90,D70-D77,Hyposplenism,2014-11-19 17:21:23.996408
D73.2,Y,D50-D90,D70-D77,Chronic congestive splenomegaly,2014-11-19 17:21:23.996408
D73.3,Y,D50-D90,D70-D77,Abscess of spleen,2014-11-19 17:21:23.996408
D73.4,Y,D50-D90,D70-D77,Cyst of spleen,2014-11-19 17:21:23.996408
D73.8,Y,D50-D90,D70-D77,Other diseases of spleen,2014-11-19 17:21:23.996408
D73.9,Y,D50-D90,D70-D77,"Disease of spleen, unspecified",2014-11-19 17:21:23.996408
D74.0,Y,D50-D90,D70-D77,Congenital methaemoglobinaemia,2014-11-19 17:21:23.996408
D74.8,Y,D50-D90,D70-D77,Other methaemoglobinaemias,2014-11-19 17:21:23.996408
D74.9,Y,D50-D90,D70-D77,"Methaemoglobinaemia, unspecified",2014-11-19 17:21:23.996408
D75.0,Y,D50-D90,D70-D77,Familial erythrocytosis,2014-11-19 17:21:23.996408
D75.1,Y,D50-D90,D70-D77,Secondary polycythaemia,2014-11-19 17:21:23.996408
D75.8,Y,D50-D90,D70-D77,Other specified diseases of blood and blood-forming organs,2014-11-19 17:21:23.996408
D76.,N,D50-D90,D70-D77,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,2014-11-19 17:21:23.996408
D76.1,Y,D50-D90,D70-D77,Haemophagocytic lymphohistiocytosis,2014-11-19 17:21:23.996408
D76.2,Y,D50-D90,D70-D77,"Haemophagocytic syndrome, infection-associated",2014-11-19 17:21:23.996408
D76.3,Y,D50-D90,D70-D77,Other histiocytosis syndromes,2014-11-19 17:21:23.996408
D80.,N,D50-D90,D80-D90,Immunodeficiency with predominantly antibody defects,2014-11-19 17:21:23.996408
D80.0,Y,D50-D90,D80-D90,Hereditary hypogammaglobulinaemia,2014-11-19 17:21:23.996408
D80.1,Y,D50-D90,D80-D90,Nonfamilial hypogammaglobulinaemia,2014-11-19 17:21:23.996408
D80.2,Y,D50-D90,D80-D90,Selective deficiency of immunoglobulin A [IgA],2014-11-19 17:21:23.996408
D80.3,Y,D50-D90,D80-D90,Selective deficiency of immunoglobulin G [IgG] subclasses,2014-11-19 17:21:23.996408
D80.4,Y,D50-D90,D80-D90,Selective deficiency of immunoglobulin M [IgM],2014-11-19 17:21:23.996408
D80.5,Y,D50-D90,D80-D90,Immunodeficiency with increased immunoglobulin M [IgM],2014-11-19 17:21:23.996408
D80.7,Y,D50-D90,D80-D90,Transient hypogammaglobulinaemia of infancy,2014-11-19 17:21:23.996408
D80.8,Y,D50-D90,D80-D90,Other immunodeficiencies with predominantly antibody defects,2014-11-19 17:21:23.996408
D80.9,Y,D50-D90,D80-D90,"Immunodeficiency with predominantly antibody defects, unspecified",2014-11-19 17:21:23.996408
D81.,N,D50-D90,D80-D90,Combined immunodeficiencies,2014-11-19 17:21:23.996408
D81.0,Y,D50-D90,D80-D90,Severe combined immunodeficiency [SCID] with reticular dysgenesis,2014-11-19 17:21:23.996408
D81.1,Y,D50-D90,D80-D90,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,2014-11-19 17:21:23.996408
D81.4,Y,D50-D90,D80-D90,Nezelof syndrome,2014-11-19 17:21:23.996408
D81.6,Y,D50-D90,D80-D90,Major histocompatibility complex class I deficiency,2014-11-19 17:21:23.996408
D81.7,Y,D50-D90,D80-D90,Major histocompatibility complex class II deficiency,2014-11-19 17:21:23.996408
D81.8,Y,D50-D90,D80-D90,Other combined immunodeficiencies,2014-11-19 17:21:23.996408
D81.9,Y,D50-D90,D80-D90,"Combined immunodeficiency, unspecified",2014-11-19 17:21:23.996408
D82.,N,D50-D90,D80-D90,Immunodeficiency associated with other major defects,2014-11-19 17:21:23.996408
D82.0,Y,D50-D90,D80-D90,Wiskott-Aldrich syndrome,2014-11-19 17:21:23.996408
D82.1,Y,D50-D90,D80-D90,Di George syndrome,2014-11-19 17:21:23.996408
D82.3,Y,D50-D90,D80-D90,Immunodeficiency following hereditary defective response to Epstein-Barr virus,2014-11-19 17:21:23.996408
D82.4,Y,D50-D90,D80-D90,Hyperimmunoglobulin E [IgE] syndrome,2014-11-19 17:21:23.996408
D82.9,Y,D50-D90,D80-D90,"Immunodeficiency associated with major defect, unspecified",2014-11-19 17:21:23.996408
D83.,N,D50-D90,D80-D90,Common variable immunodeficiency,2014-11-19 17:21:23.996408
D83.0,Y,D50-D90,D80-D90,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,2014-11-19 17:21:23.996408
D83.1,Y,D50-D90,D80-D90,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,2014-11-19 17:21:23.996408
D83.2,Y,D50-D90,D80-D90,Common variable immunodeficiency with autoantibodies to B- or T-cells,2014-11-19 17:21:23.996408
D83.8,Y,D50-D90,D80-D90,Other common variable immunodeficiencies,2014-11-19 17:21:23.996408
D84.,N,D50-D90,D80-D90,Other immunodeficiencies,2014-11-19 17:21:23.996408
D84.0,Y,D50-D90,D80-D90,Lymphocyte function antigen-1 [LFA-1] defect,2014-11-19 17:21:23.996408
D84.1,Y,D50-D90,D80-D90,Defects in the complement system,2014-11-19 17:21:23.996408
D84.8,Y,D50-D90,D80-D90,Other specified immunodeficiencies,2014-11-19 17:21:23.996408
D84.9,Y,D50-D90,D80-D90,"Immunodeficiency, unspecified",2014-11-19 17:21:23.996408
D86.,N,D50-D90,D80-D90,Sarcoidosis,2014-11-19 17:21:23.996408
D86.1,Y,D50-D90,D80-D90,Sarcoidosis of lymph nodes,2014-11-19 17:21:23.996408
D86.3,Y,D50-D90,D80-D90,Sarcoidosis of skin,2014-11-19 17:21:23.996408
D86.8,Y,D50-D90,D80-D90,Sarcoidosis of other and combined sites,2014-11-19 17:21:23.996408
D86.9,Y,D50-D90,D80-D90,"Sarcoidosis, unspecified",2014-11-19 17:21:23.996408
D89.,N,D50-D90,D80-D90,"Other disorders involving the immune mechanism, not elsewhere classified",2014-11-19 17:21:23.996408
D89.0,Y,D50-D90,D80-D90,Polyclonal hypergammaglobulinaemia,2014-11-19 17:21:23.996408
D89.1,Y,D50-D90,D80-D90,Cryoglobulinaemia,2014-11-19 17:21:23.996408
D89.3,Y,D50-D90,D80-D90,Immune reconstitution syndrome,2014-11-19 17:21:23.996408
D89.8,Y,D50-D90,D80-D90,"Other specified disorders involving the immune mechanism, not elsewhere classified",2014-11-19 17:21:23.996408
D89.9,Y,D50-D90,D80-D90,"Disorder involving the immune mechanism, unspecified",2014-11-19 17:21:23.996408
E00.,N,E00-E90,E00-E07,Congenital iodine-deficiency syndrome,2014-11-19 17:21:23.996408
E00.1,Y,E00-E90,E00-E07,"Congenital iodine-deficiency syndrome, myxoedematous type",2014-11-19 17:21:23.996408
E00.2,Y,E00-E90,E00-E07,"Congenital iodine-deficiency syndrome, mixed type",2014-11-19 17:21:23.996408
E00.9,Y,E00-E90,E00-E07,"Congenital iodine-deficiency syndrome, unspecified",2014-11-19 17:21:23.996408
E01.,N,E00-E90,E00-E07,Iodine-deficiency-related thyroid disorders and allied conditions,2014-11-19 17:21:23.996408
E01.1,Y,E00-E90,E00-E07,Iodine-deficiency-related multinodular (endemic) goitre,2014-11-19 17:21:23.996408
E01.2,Y,E00-E90,E00-E07,"Iodine-deficiency-related (endemic) goitre, unspecified",2014-11-19 17:21:23.996408
E01.8,Y,E00-E90,E00-E07,Other iodine-deficiency-related thyroid disorders and allied conditions,2014-11-19 17:21:23.996408
E02.,Y,E00-E90,E00-E07,Subclinical iodine-deficiency hypothyroidism,2014-11-19 17:21:23.996408
E03.,N,E00-E90,E00-E07,Other hypothyroidism,2014-11-19 17:21:23.996408
E03.0,Y,E00-E90,E00-E07,Congenital hypothyroidism with diffuse goitre,2014-11-19 17:21:23.996408
E03.2,Y,E00-E90,E00-E07,Hypothyroidism due to medicaments and other exogenous substances,2014-11-19 17:21:23.996408
E03.3,Y,E00-E90,E00-E07,Postinfectious hypothyroidism,2014-11-19 17:21:23.996408
E03.4,Y,E00-E90,E00-E07,Atrophy of thyroid (acquired),2014-11-19 17:21:23.996408
E03.5,Y,E00-E90,E00-E07,Myxoedema coma,2014-11-19 17:21:23.996408
E03.8,Y,E00-E90,E00-E07,Other specified hypothyroidism,2014-11-19 17:21:23.996408
E04.,N,E00-E90,E00-E07,Other nontoxic goitre,2014-11-19 17:21:23.996408
E04.0,Y,E00-E90,E00-E07,Nontoxic diffuse goitre,2014-11-19 17:21:23.996408
E04.1,Y,E00-E90,E00-E07,Nontoxic single thyroid nodule,2014-11-19 17:21:23.996408
E04.8,Y,E00-E90,E00-E07,Other specified nontoxic goitre,2014-11-19 17:21:23.996408
E04.9,Y,E00-E90,E00-E07,"Nontoxic goitre, unspecified",2014-11-19 17:21:23.996408
E05.,N,E00-E90,E00-E07,Thyrotoxicosis [hyperthyroidism],2014-11-19 17:21:23.996408
E05.0,Y,E00-E90,E00-E07,Thyrotoxicosis with diffuse goitre,2014-11-19 17:21:23.996408
E05.2,Y,E00-E90,E00-E07,Thyrotoxicosis with toxic multinodular goitre,2014-11-19 17:21:23.996408
E05.3,Y,E00-E90,E00-E07,Thyrotoxicosis from ectopic thyroid tissue,2014-11-19 17:21:23.996408
E05.4,Y,E00-E90,E00-E07,Thyrotoxicosis factitia,2014-11-19 17:21:23.996408
E05.5,Y,E00-E90,E00-E07,Thyroid crisis or storm,2014-11-19 17:21:23.996408
E05.8,Y,E00-E90,E00-E07,Other thyrotoxicosis,2014-11-19 17:21:23.996408
E06.,N,E00-E90,E00-E07,Thyroiditis,2014-11-19 17:21:23.996408
E06.0,Y,E00-E90,E00-E07,Acute thyroiditis,2014-11-19 17:21:23.996408
E06.1,Y,E00-E90,E00-E07,Subacute thyroiditis,2014-11-19 17:21:23.996408
E06.3,Y,E00-E90,E00-E07,Autoimmune thyroiditis,2014-11-19 17:21:23.996408
E06.4,Y,E00-E90,E00-E07,Drug-induced thyroiditis,2014-11-19 17:21:23.996408
E06.5,Y,E00-E90,E00-E07,Other chronic thyroiditis,2014-11-19 17:21:23.996408
E06.9,Y,E00-E90,E00-E07,"Thyroiditis, unspecified",2014-11-19 17:21:23.996408
E07.,N,E00-E90,E00-E07,Other disorders of thyroid,2014-11-19 17:21:23.996408
E07.1,Y,E00-E90,E00-E07,Dyshormogenetic goitre,2014-11-19 17:21:23.996408
E07.8,Y,E00-E90,E00-E07,Other specified disorders of thyroid,2014-11-19 17:21:23.996408
E07.9,Y,E00-E90,E00-E07,"Disorder of thyroid, unspecified",2014-11-19 17:21:23.996408
E10.0,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With coma,2014-11-19 17:21:23.996408
E10.1,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With ketoacidosis,2014-11-19 17:21:23.996408
E10.2,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With renal complications,2014-11-19 17:21:23.996408
E10.6,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With other specified complications,2014-11-19 17:21:23.996408
E10.7,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With multiple complications,2014-11-19 17:21:23.996408
E10.8,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: With unspecified complications,2014-11-19 17:21:23.996408
E10.9,Y,E00-E90,E10-E14,Insulin-dependent diabetes mellitus: Without complications,2014-11-19 17:21:23.996408
E11.,N,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus,2014-11-19 17:21:23.996408
E11.0,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With coma,2014-11-19 17:21:23.996408
E11.1,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With ketoacidosis,2014-11-19 17:21:23.996408
E11.3,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With ophthalmic complications,2014-11-19 17:21:23.996408
E11.4,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With neurological complications,2014-11-19 17:21:23.996408
E11.5,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With peripheral circulatory complications,2014-11-19 17:21:23.996408
E11.6,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With other specified complications,2014-11-19 17:21:23.996408
E11.7,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: With multiple complications,2014-11-19 17:21:23.996408
E11.9,Y,E00-E90,E10-E14,Non-insulin-dependent diabetes mellitus: Without complications,2014-11-19 17:21:23.996408
E12.,N,E00-E90,E10-E14,Malnutrition-related diabetes mellitus,2014-11-19 17:21:23.996408
E12.0,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With coma,2014-11-19 17:21:23.996408
E12.1,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With ketoacidosis,2014-11-19 17:21:23.996408
E12.2,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With renal complications,2014-11-19 17:21:23.996408
E12.3,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With ophthalmic complications,2014-11-19 17:21:23.996408
E12.5,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With peripheral circulatory complications,2014-11-19 17:21:23.996408
E12.6,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With other specified complications,2014-11-19 17:21:23.996408
E12.7,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With multiple complications,2014-11-19 17:21:23.996408
E12.8,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: With unspecified complications,2014-11-19 17:21:23.996408
E12.9,Y,E00-E90,E10-E14,Malnutrition-related diabetes mellitus: Without complications,2014-11-19 17:21:23.996408
E13.,N,E00-E90,E10-E14,Other specified diabetes mellitus,2014-11-19 17:21:23.996408
E13.0,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With coma,2014-11-19 17:21:23.996408
E13.2,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With renal complications,2014-11-19 17:21:23.996408
E13.3,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With ophthalmic complications,2014-11-19 17:21:23.996408
E13.4,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With neurological complications,2014-11-19 17:21:23.996408
E13.6,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With other specified complications,2014-11-19 17:21:23.996408
E13.7,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With multiple complications,2014-11-19 17:21:23.996408
E13.8,Y,E00-E90,E10-E14,Other specified diabetes mellitus: With unspecified complications,2014-11-19 17:21:23.996408
E13.9,Y,E00-E90,E10-E14,Other specified diabetes mellitus: Without complications,2014-11-19 17:21:23.996408
E14.,N,E00-E90,E10-E14,Unspecified diabetes mellitus,2014-11-19 17:21:23.996408
E14.0,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With coma,2014-11-19 17:21:23.996408
E14.1,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With ketoacidosis,2014-11-19 17:21:23.996408
E14.3,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With ophthalmic complications,2014-11-19 17:21:23.996408
E14.4,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With neurological complications,2014-11-19 17:21:23.996408
E14.5,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With peripheral circulatory complications,2014-11-19 17:21:23.996408
E14.6,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With other specified complications,2014-11-19 17:21:23.996408
E14.7,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: With multiple complications,2014-11-19 17:21:23.996408
E14.9,Y,E00-E90,E10-E14,Unspecified diabetes mellitus: Without complications,2014-11-19 17:21:23.996408
E15.,Y,E00-E90,E15-E16,Nondiabetic hypoglycaemic coma,2014-11-19 17:21:23.996408
E16.,N,E00-E90,E15-E16,Other disorders of pancreatic internal secretion,2014-11-19 17:21:23.996408
E16.0,Y,E00-E90,E15-E16,Drug-induced hypoglycaemia without coma,2014-11-19 17:21:23.996408
E16.1,Y,E00-E90,E15-E16,Other hypoglycaemia,2014-11-19 17:21:23.996408
E16.2,Y,E00-E90,E15-E16,"Hypoglycaemia, unspecified",2014-11-19 17:21:23.996408
E16.4,Y,E00-E90,E15-E16,Abnormal secretion of gastrin,2014-11-19 17:21:23.996408
E16.8,Y,E00-E90,E15-E16,Other specified disorders of pancreatic internal secretion,2014-11-19 17:21:23.996408
E16.9,Y,E00-E90,E15-E16,"Disorder of pancreatic internal secretion, unspecified",2014-11-19 17:21:23.996408
E20.,N,E00-E90,E20-E35,Hypoparathyroidism,2014-11-19 17:21:23.996408
E20.1,Y,E00-E90,E20-E35,Pseudohypoparathyroidism,2014-11-19 17:21:23.996408
E20.8,Y,E00-E90,E20-E35,Other hypoparathyroidism,2014-11-19 17:21:23.996408
E20.9,Y,E00-E90,E20-E35,"Hypoparathyroidism, unspecified",2014-11-19 17:21:23.996408
E21.0,Y,E00-E90,E20-E35,Primary hyperparathyroidism,2014-11-19 17:21:23.996408
E21.1,Y,E00-E90,E20-E35,"Secondary hyperparathyroidism, not elsewhere classified",2014-11-19 17:21:23.996408
E21.2,Y,E00-E90,E20-E35,Other hyperparathyroidism,2014-11-19 17:21:23.996408
E21.3,Y,E00-E90,E20-E35,"Hyperparathyroidism, unspecified",2014-11-19 17:21:23.996408
E21.4,Y,E00-E90,E20-E35,Other specified disorders of parathyroid gland,2014-11-19 17:21:23.996408
E22.,N,E00-E90,E20-E35,Hyperfunction of pituitary gland,2014-11-19 17:21:23.996408
E22.0,Y,E00-E90,E20-E35,Acromegaly and pituitary gigantism,2014-11-19 17:21:23.996408
E22.1,Y,E00-E90,E20-E35,Hyperprolactinaemia,2014-11-19 17:21:23.996408
E22.2,Y,E00-E90,E20-E35,Syndrome of inappropriate secretion of antidiuretic hormone,2014-11-19 17:21:23.996408
E22.8,Y,E00-E90,E20-E35,Other hyperfunction of pituitary gland,2014-11-19 17:21:23.996408
E23.,N,E00-E90,E20-E35,Hypofunction and other disorders of pituitary gland,2014-11-19 17:21:23.996408
E23.0,Y,E00-E90,E20-E35,Hypopituitarism,2014-11-19 17:21:23.996408
E23.1,Y,E00-E90,E20-E35,Drug-induced hypopituitarism,2014-11-19 17:21:23.996408
E23.2,Y,E00-E90,E20-E35,Diabetes insipidus,2014-11-19 17:21:23.996408
F63.0,Y,F00-F98,F60-F69,Pathological gambling,2014-11-19 17:21:23.996408
E23.7,Y,E00-E90,E20-E35,"Disorder of pituitary gland, unspecified",2014-11-19 17:21:23.996408
E24.,N,E00-E90,E20-E35,Cushing syndrome,2014-11-19 17:21:23.996408
E24.0,Y,E00-E90,E20-E35,Pituitary-dependent Cushing disease,2014-11-19 17:21:23.996408
E24.1,Y,E00-E90,E20-E35,Nelson syndrome,2014-11-19 17:21:23.996408
E24.2,Y,E00-E90,E20-E35,Drug-induced Cushing syndrome,2014-11-19 17:21:23.996408
E24.4,Y,E00-E90,E20-E35,Alcohol-induced pseudo-Cushing syndrome,2014-11-19 17:21:23.996408
E24.8,Y,E00-E90,E20-E35,Other Cushing syndrome,2014-11-19 17:21:23.996408
E24.9,Y,E00-E90,E20-E35,"Cushing syndrome, unspecified",2014-11-19 17:21:23.996408
E25.0,Y,E00-E90,E20-E35,Congenital adrenogenital disorders associated with enzyme deficiency,2014-11-19 17:21:23.996408
E25.8,Y,E00-E90,E20-E35,Other adrenogenital disorders,2014-11-19 17:21:23.996408
E25.9,Y,E00-E90,E20-E35,"Adrenogenital disorder, unspecified",2014-11-19 17:21:23.996408
E26.,N,E00-E90,E20-E35,Hyperaldosteronism,2014-11-19 17:21:23.996408
E26.1,Y,E00-E90,E20-E35,Secondary hyperaldosteronism,2014-11-19 17:21:23.996408
E26.8,Y,E00-E90,E20-E35,Other hyperaldosteronism,2014-11-19 17:21:23.996408
E26.9,Y,E00-E90,E20-E35,"Hyperaldosteronism, unspecified",2014-11-19 17:21:23.996408
E27.0,Y,E00-E90,E20-E35,Other adrenocortical overactivity,2014-11-19 17:21:23.996408
E27.1,Y,E00-E90,E20-E35,Primary adrenocortical insufficiency,2014-11-19 17:21:23.996408
E27.2,Y,E00-E90,E20-E35,Addisonian crisis,2014-11-19 17:21:23.996408
E27.4,Y,E00-E90,E20-E35,Other and unspecified adrenocortical insufficiency,2014-11-19 17:21:23.996408
E27.5,Y,E00-E90,E20-E35,Adrenomedullary hyperfunction,2014-11-19 17:21:23.996408
E27.8,Y,E00-E90,E20-E35,Other specified disorders of adrenal gland,2014-11-19 17:21:23.996408
E27.9,Y,E00-E90,E20-E35,"Disorder of adrenal gland, unspecified",2014-11-19 17:21:23.996408
E28.,N,E00-E90,E20-E35,Ovarian dysfunction,2014-11-19 17:21:23.996408
E28.1,Y,E00-E90,E20-E35,Ovarian dysfunction: Androgen excess,2014-11-19 17:21:23.996408
E28.2,Y,E00-E90,E20-E35,Polycystic ovarian syndrome,2014-11-19 17:21:23.996408
E28.3,Y,E00-E90,E20-E35,Primary ovarian failure,2014-11-19 17:21:23.996408
E28.8,Y,E00-E90,E20-E35,Other ovarian dysfunction,2014-11-19 17:21:23.996408
E29.,N,E00-E90,E20-E35,Testicular dysfunction,2014-11-19 17:21:23.996408
E29.0,Y,E00-E90,E20-E35,Testicular hyperfunction,2014-11-19 17:21:23.996408
E29.1,Y,E00-E90,E20-E35,Testicular hypofunction,2014-11-19 17:21:23.996408
E29.8,Y,E00-E90,E20-E35,Other testicular dysfunction,2014-11-19 17:21:23.996408
E30.,N,E00-E90,E20-E35,"Disorders of puberty, not elsewhere classified",2014-11-19 17:21:23.996408
E30.0,Y,E00-E90,E20-E35,Delayed puberty,2014-11-19 17:21:23.996408
E30.1,Y,E00-E90,E20-E35,Precocious puberty,2014-11-19 17:21:23.996408
E30.8,Y,E00-E90,E20-E35,Other disorders of puberty,2014-11-19 17:21:23.996408
E31.,N,E00-E90,E20-E35,Polyglandular dysfunction,2014-11-19 17:21:23.996408
E31.0,Y,E00-E90,E20-E35,Autoimmune polyglandular failure,2014-11-19 17:21:23.996408
E31.1,Y,E00-E90,E20-E35,Polyglandular hyperfunction,2014-11-19 17:21:23.996408
E31.8,Y,E00-E90,E20-E35,Other polyglandular dysfunction,2014-11-19 17:21:23.996408
E32.,N,E00-E90,E20-E35,Diseases of thymus,2014-11-19 17:21:23.996408
E32.0,Y,E00-E90,E20-E35,Persistent hyperplasia of thymus,2014-11-19 17:21:23.996408
E32.1,Y,E00-E90,E20-E35,Abscess of thymus,2014-11-19 17:21:23.996408
E32.8,Y,E00-E90,E20-E35,Other diseases of thymus,2014-11-19 17:21:23.996408
E34.,N,E00-E90,E20-E35,Other endocrine disorders,2014-11-19 17:21:23.996408
E34.0,Y,E00-E90,E20-E35,Carcinoid syndrome,2014-11-19 17:21:23.996408
E34.1,Y,E00-E90,E20-E35,Other hypersecretion of intestinal hormones,2014-11-19 17:21:23.996408
E34.3,Y,E00-E90,E20-E35,"Short stature, not elsewhere classified",2014-11-19 17:21:23.996408
E34.4,Y,E00-E90,E20-E35,Constitutional tall stature,2014-11-19 17:21:23.996408
E34.5,Y,E00-E90,E20-E35,Androgen resistance syndrome,2014-11-19 17:21:23.996408
E34.8,Y,E00-E90,E20-E35,Other specified endocrine disorders,2014-11-19 17:21:23.996408
E34.9,Y,E00-E90,E20-E35,"Endocrine disorder, unspecified",2014-11-19 17:21:23.996408
E35.0,Y,E00-E90,E20-E35,Disorders of thyroid gland in diseases classified elsewhere,2014-11-19 17:21:23.996408
E35.1,Y,E00-E90,E20-E35,Disorders of adrenal glands in diseases classified elsewhere,2014-11-19 17:21:23.996408
E35.8,Y,E00-E90,E20-E35,Disorders of other endocrine glands in diseases classified elsewhere,2014-11-19 17:21:23.996408
E40.,Y,E00-E90,E40-E46,Kwashiorkor,2014-11-19 17:21:23.996408
E41.,Y,E00-E90,E40-E46,Nutritional marasmus,2014-11-19 17:21:23.996408
E42.,Y,E00-E90,E40-E46,Marasmic kwashiorkor,2014-11-19 17:21:23.996408
E44.,N,E00-E90,E40-E46,Protein-energy malnutrition of moderate and mild degree,2014-11-19 17:21:23.996408
E44.0,Y,E00-E90,E40-E46,Moderate protein-energy malnutrition,2014-11-19 17:21:23.996408
E44.1,Y,E00-E90,E40-E46,Mild protein-energy malnutrition,2014-11-19 17:21:23.996408
E46.,Y,E00-E90,E40-E46,Unspecified protein-energy malnutrition,2014-11-19 17:21:23.996408
E50.,N,E00-E90,E50-E64,Vitamin A deficiency,2014-11-19 17:21:23.996408
E50.0,Y,E00-E90,E50-E64,Vitamin A deficiency with conjunctival xerosis,2014-11-19 17:21:23.996408
E50.1,Y,E00-E90,E50-E64,Vitamin A deficiency with Bitot spot and conjunctival xerosis,2014-11-19 17:21:23.996408
E50.2,Y,E00-E90,E50-E64,Vitamin A deficiency with corneal xerosis,2014-11-19 17:21:23.996408
E50.4,Y,E00-E90,E50-E64,Vitamin A deficiency with keratomalacia,2014-11-19 17:21:23.996408
E50.5,Y,E00-E90,E50-E64,Vitamin A deficiency with night blindness,2014-11-19 17:21:23.996408
E50.6,Y,E00-E90,E50-E64,Vitamin A deficiency with xerophthalmic scars of cornea,2014-11-19 17:21:23.996408
E50.7,Y,E00-E90,E50-E64,Other ocular manifestations of vitamin A deficiency,2014-11-19 17:21:23.996408
E50.8,Y,E00-E90,E50-E64,Other manifestations of vitamin A deficiency,2014-11-19 17:21:23.996408
E50.9,Y,E00-E90,E50-E64,"Vitamin A deficiency, unspecified",2014-11-19 17:21:23.996408
E51.,N,E00-E90,E50-E64,Thiamine deficiency,2014-11-19 17:21:23.996408
E51.2,Y,E00-E90,E50-E64,Wernicke encephalopathy,2014-11-19 17:21:23.996408
